Iteration 1  Res 1
Iteration 11  Res 0.326114
Iteration 21  Res 0.107384
Iteration 31  Res 0.0363419
Iteration 41  Res 0.012467
Iteration 51  Res 0.00433148
Iteration 61  Res 0.00151376
Iteration 71  Res 0.000540257
Iteration 81  Res 0.000192524
Iteration 91  Res 6.90363e-05
Iteration 101  Res 2.49476e-05
Iteration 111  Res 9.05187e-06
Iteration 121  Res 3.27797e-06
Iteration 131  Res 1.18866e-06
Iteration 141  Res 4.31091e-07
Iteration 151  Res 1.56943e-07
Iteration 161  Res 5.74944e-08
Iteration 171  Res 2.11361e-08
Iteration 181  Res 7.69764e-09
Iteration 191  Res 2.83187e-09
Iteration 201  Res 1.03407e-09
Iteration 211  Res 3.81147e-10
Iteration 221  Res 1.39508e-10
Last iteration 225  Res 9.34533e-11
