Iteration 1  Res 1
Iteration 11  Res 0.326776
Iteration 21  Res 0.107039
Iteration 31  Res 0.0364808
Iteration 41  Res 0.0124064
Iteration 51  Res 0.00436642
Iteration 61  Res 0.0015426
Iteration 71  Res 0.000557827
Iteration 81  Res 0.000230055
Iteration 91  Res 9.48867e-05
Iteration 101  Res 4.12402e-05
Iteration 111  Res 3.23044e-05
Iteration 121  Res 2.69343e-05
Iteration 131  Res 1.36243e-05
Iteration 141  Res 1.16578e-05
Iteration 151  Res 1.68488e-05
Iteration 161  Res 1.06914e-05
Iteration 171  Res 6.70551e-06
Iteration 181  Res 9.63932e-06
Iteration 191  Res 9.33125e-06
Iteration 201  Res 4.90217e-06
Iteration 211  Res 4.56668e-06
Iteration 221  Res 6.65526e-06
Iteration 231  Res 4.11328e-06
Iteration 241  Res 2.64426e-06
Iteration 251  Res 3.91178e-06
Iteration 261  Res 3.64699e-06
Iteration 271  Res 1.92493e-06
Iteration 281  Res 1.86008e-06
Iteration 291  Res 2.64773e-06
Iteration 301  Res 1.59232e-06
Iteration 311  Res 1.05234e-06
Iteration 321  Res 1.58542e-06
Iteration 331  Res 1.42323e-06
Iteration 341  Res 7.55633e-07
Iteration 351  Res 7.59764e-07
Iteration 361  Res 1.0518e-06
Iteration 371  Res 6.16111e-07
Iteration 381  Res 4.20229e-07
Iteration 391  Res 6.41328e-07
Iteration 401  Res 5.54398e-07
Iteration 411  Res 2.97269e-07
Iteration 421  Res 3.12171e-07
Iteration 431  Res 4.17188e-07
Iteration 441  Res 2.39047e-07
Iteration 451  Res 1.68077e-07
Iteration 461  Res 2.58948e-07
Iteration 471  Res 2.15547e-07
Iteration 481  Res 1.16908e-07
Iteration 491  Res 1.28576e-07
Iteration 501  Res 1.65223e-07
Iteration 511  Res 9.2795e-08
Iteration 521  Res 6.74907e-08
Iteration 531  Res 1.04368e-07
Iteration 541  Res 8.36376e-08
Iteration 551  Res 4.59727e-08
Iteration 561  Res 5.29441e-08
Iteration 571  Res 6.53351e-08
Iteration 581  Res 3.60481e-08
Iteration 591  Res 2.71103e-08
Iteration 601  Res 4.19926e-08
Iteration 611  Res 3.23867e-08
Iteration 621  Res 1.80949e-08
Iteration 631  Res 2.17818e-08
Iteration 641  Res 2.57961e-08
Iteration 651  Res 1.40358e-08
Iteration 661  Res 1.09004e-08
Iteration 671  Res 1.68674e-08
Iteration 681  Res 1.25139e-08
Iteration 691  Res 7.12779e-09
Iteration 701  Res 8.94473e-09
Iteration 711  Res 1.01692e-08
Iteration 721  Res 5.4619e-09
Iteration 731  Res 4.39046e-09
Iteration 741  Res 6.76405e-09
Iteration 751  Res 4.82424e-09
Iteration 761  Res 2.81048e-09
Iteration 771  Res 3.66486e-09
Iteration 781  Res 4.00252e-09
Iteration 791  Res 2.12857e-09
Iteration 801  Res 1.77141e-09
Iteration 811  Res 2.70811e-09
Iteration 821  Res 1.85882e-09
Iteration 831  Res 1.10946e-09
Iteration 841  Res 1.49833e-09
Iteration 851  Res 1.57285e-09
Iteration 861  Res 8.29738e-10
Iteration 871  Res 7.16721e-10
Iteration 881  Res 1.08253e-09
Iteration 891  Res 7.16138e-10
Iteration 901  Res 4.38207e-10
Iteration 911  Res 6.11195e-10
Iteration 921  Res 6.17064e-10
Iteration 931  Res 3.23977e-10
Iteration 941  Res 2.90619e-10
Iteration 951  Res 4.32052e-10
Iteration 961  Res 2.75902e-10
Iteration 971  Res 1.73071e-10
Iteration 981  Res 2.48772e-10
Iteration 991  Res 2.41685e-10
Last iteration 1001  Res 1.33129e-10
